name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,revenue_per_copy
WWE 2K24,2024-03-07,165301,99.99,8055097.0,42.36514031444467,71,AAA,2K,Visual Concepts,2315690,48.72987459241021
EARTH DEFENSE FORCE 6,2024-07-25,159806,59.99,7882151.0,29.65106126155342,57,Indie,D3PUBLISHER,SANDLOT,2291060,49.32324818842847
Sins of a Solar Empire II,2024-08-15,214192,49.99,7815247.0,12.45259326556514,88,Indie,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment",1575940,36.48710969597371
Legend of Mortal,2024-06-14,440998,19.99,7756399.0,24.79781729089117,76,Indie,"Paras Games,Obb Studio Inc.",Obb Studio Inc.,1859910,17.588286114676258
Shin Megami Tensei V: Vengeance,2024-06-13,141306,59.99,7629252.0,34.25849627863547,96,AA,SEGA,ATLUS,1875830,53.99099825909728
Soulmask,2024-05-30,304685,29.99,7540563.0,95.69781345051696,79,Indie,Qooland Games,CampFire Studio,2646460,24.74871752793869
The Universim,2024-01-22,328945,29.99,7534369.0,16.86853054897363,81,Indie,Crytivo,Crytivo,352720,22.90464667345605
Bellwright,2024-04-23,280955,29.99,7481940.0,41.418884797624166,78,Indie,"Donkey Crew,Snail Games USA",Donkey Crew,1812450,26.63038564894734
Night of the Dead,2024-05-31,394364,29.99,7091792.0,27.59707192847936,79,Indie,Jackto Studios,Jackto Studios,1377380,17.982858475925795
Empires of the Undergrowth,2024-06-07,408292,29.99,6950952.0,38.60212424802546,95,AA,"Hooded Horse,Slug Disco",Slug Disco,463530,17.024462884406258
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,2024-06-13,212325,49.99,6828446.0,30.27494811660254,0,AA,Square Enix,Square Enix,2552430,32.16034852231249
ANIMAL WELL,2024-05-09,305891,24.99,6420393.0,8.485381327666017,96,Indie,Bigmode,Billy Basso,813230,20.989152998944068
Age of Mythology: Retold,2024-09-04,236419,29.99,6381185.0,9.389112456991116,91,AAA,Xbox Game Studios,"World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games",1934680,26.990999031380728
STAR WARS™: Battlefront Classic Collection,2024-03-13,185054,35.01,6048340.0,4.360934964168404,0,Indie,Aspyr,Aspyr,2446550,32.68418947982751
Another Crab's Treasure,2024-04-25,264723,29.99,5719324.0,10.434608015373133,95,Indie,Aggro Crab,Aggro Crab,1887840,21.604937991787644
Homeworld 3,2024-05-13,102487,59.99,5516030.0,8.497439609058835,42,AA,Gearbox Publishing,Blackbird Interactive,1840080,53.82175300281987
Winter Memories,2024-01-05,424281,19.99,5478333.0,8.98400541606548,0,Indie,Kagura Games,Dojin Otome,2495450,12.912039426700701
Nine Sols,2024-05-28,214407,29.99,5475592.0,17.894843749042394,96,Indie,RedCandleGames,RedCandleGames,1809540,25.538307984347526
Outpost: Infinity Siege,2024-03-26,278031,24.99,5312327.0,35.08670209892025,68,AA,Lightning Games,Team Ranger,1566690,19.106959295905853
Sker Ritual,2024-04-18,267953,24.99,5058868.0,6.477539083793293,82,Indie,Wales Interactive,Wales Interactive,1492070,18.879684123708262
shapez 2,2024-08-15,261028,24.99,4810868.0,16.307715687349233,99,Indie,"tobspr Games,Gamera Games",tobspr Games,2162800,18.430467229569242
Senua’s Saga: Hellblade II,2024-05-21,107010,49.99,4747832.0,5.160077378916766,88,AAA,Xbox Game Studios,Ninja Theory,2461850,44.36811512942715
Pixel Gun 3D: PC Edition,2024-04-02,1626877,0.0,4707782.0,11.89782337701754,62,Indie,Cubic Games Studio,Cubic Games Studio,2524890,2.893754106794798
Backpack Battles,2024-03-08,499559,12.99,4663468.0,42.85143977627138,90,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700,9.33516961960449
Crime Scene Cleaner,2024-08-14,285596,19.99,4644684.0,8.5955248244436,98,Indie,"President Studio,PlayWay S.A.",President Studio,1040200,16.263126934550904
Kebab Chefs! - Restaurant Simulator,2024-01-19,312189,17.99,4552032.0,9.479225359641724,89,Indie,Biotech Gameworks,Biotech Gameworks,1001270,14.581013424560123
Predecessor,2024-08-20,433605,0.0,4523839.944318563,109.91382768034087,79,Indie,Omeda Studios,Omeda Studios,961200,10.433089895915781
Palia,2024-03-25,881082,0.0,4263470.0,47.02791482592875,78,Indie,Singularity 6 Corporation,Singularity 6 Corporation,2707930,4.8389026220034
"Little Kitty, Big City",2024-05-09,206880,24.99,4238137.0,4.143531272874482,95,Indie,Double Dagger Studio,Double Dagger Studio,1177980,20.48596771075019
Secrets of Grindea,2024-02-29,314988,14.99,4161183.0,21.69826525906877,90,Indie,Pixel Ferrets,Pixel Ferrets,269770,13.210608023162788
Chrono Ark,2024-05-02,301197,24.99,4113334.0,37.2041660638596,91,Indie,Al Fine,Al Fine,1188930,13.656623405943618
Nova Drift,2024-08-12,445361,17.99,4047331.0,24.72868457429413,96,Indie,Pixeljam,Chimeric,858210,9.087753530282175
Kingdom Rush 5: Alliance TD,2024-07-25,245264,19.99,4042356.0,9.09008744972337,86,Indie,Ironhide Game Studio,Ironhide Game Studio,2849080,16.481652423510994
Norland,2024-07-18,170621,29.99,3991591.0,18.46350698089453,79,AA,Hooded Horse,Long Jaunt,1857090,23.3944883689581
Eiyuden Chronicle: Hundred Heroes,2024-04-23,91925,49.99,3953243.0,26.18784418359856,0,AA,505 Games,Rabbit & Bear Studios,1658280,43.005091106880606
Le Mans Ultimate,2024-02-20,120703,32.99,3740762.0,24.51989839725174,78,Indie,Studio 397,Studio 397,2399420,30.991458373031325
The Hungry Lamb: Traveling in the Late Ming Dynasty,2024-04-22,588305,9.99,3689551.0,5.515544910785541,97,Indie,"零创游戏(ZerocreationGame),2P Games",零创游戏(ZerocreationGame),2593370,6.27149352801693
Fabledom,2024-05-13,274354,20.99,3559827.0,9.741550826316857,90,Indie,"Dear Villagers,Doyoyo Games",Grenaa Games,1651560,12.975305627036603
Apollo Justice: Ace Attorney Trilogy,2024-01-24,89327,49.99,3465018.0,40.0243065252875,93,AAA,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2187220,38.79026498147257
F1® Manager 2024,2024-07-23,111464,34.99,3428483.0,22.803547133217016,66,AA,Frontier Developments,Frontier Developments,2591280,30.75865750376803
Men of War II,2024-05-15,84565,44.99,3406127.0,21.05376649227358,0,Indie,Fulqrum Publishing,Best Way,1128860,40.27821202625199
Banishers: Ghosts of New Eden,2024-02-12,78137,49.99,3387809.0,22.31599204035413,87,AA,Focus Entertainment,DON'T NOD,1493640,43.35729551940822
Buckshot Roulette,2024-04-04,1486957,2.99,3369649.0,2.995872787721658,95,Indie,CRITICAL REFLEX,Mike Klubnika,2835570,2.2661374874996385
Fields of Mistria,2024-08-05,265456,13.99,3342356.0,15.649349536238686,98,Indie,NPC Studio,NPC Studio,2142790,12.590998131517088
FOREWARNED,2024-04-25,366053,12.99,3322822.0,8.447204850866648,91,Indie,Dreambyte Games,Dreambyte Games,1562420,9.077434142050468
Midnight Ghost Hunt,2024-03-21,371470,19.99,3272209.0,11.916997192362892,78,AA,Coffee Stain Publishing,Vaulted Sky Games,915810,8.808810940318196
Tomb Raider I-III Remastered Starring Lara Croft,2024-02-13,125073,29.99,3262820.0,25.629116385966054,87,Indie,Aspyr,"Aspyr,Crystal Dynamics",2478970,26.087325002198718
Five Nights at Freddy's: Into the Pit,2024-08-07,181334,19.99,3262379.0,5.095655826350983,96,Indie,Mega Cat Studios,Mega Cat Studios,2638370,17.990994518402506
EA SPORTS™ Madden NFL 25,2024-08-15,50521,69.99,3182368.0,16.10649107133234,50,AAA,Electronic Arts,Tiburon,2582560,62.99099384414402
Rotwood,2024-04-24,412521,10.99,3180800.0,8.798469833185573,73,AA,Klei Entertainment,Klei Entertainment,2015270,7.710637761471538
Hookah Haze,2024-07-10,17717,17.99,263733.0,4.766068924187017,92,Indie,Aniplex Inc.,ACQUIRE Corp.,2470300,14.885872326014562
Future Fragments,2024-02-22,14679,19.99,263197.0,6.791463008808835,80,Indie,"Taboo Toad,Shady Corner Games",The Future Fragments Team,1238920,17.93017235506506
Botany Manor,2024-04-09,12312,24.99,263004.0,3.329619728276769,96,Indie,Whitethorn Games,Balloon Studios,1425350,21.36159844054581
Scarlet Tower,2024-03-25,66201,4.99,262728.0,10.807864513617217,86,Indie,Pyxeralia LLC,Pyxeralia LLC,2181720,3.9686409570852406
Vellum,2024-03-28,15742,19.99,260940.0,7.258494933109757,90,Indie,"Alvios, Inc.",Alvios Games,917950,16.57603862279253
Supernatural,2024-07-15,34355,8.99,260449.0,1.582619871033138,63,Indie,Hitori De Productions,Hitori De Productions,2093010,7.581109008877893
